Opponent,Rank,Points,Win,Draw,Loose,win_rate,draw-rate,loose_rate,Result
USA,1,786.6,2,0,0,1,0,0,-1
Spain,2,778.2,10,0,1,0.909090909,0,0.090909091,-1
Germany,3,759.7,9,0,3,0.75,0,0.25,-1
Austratlia,4,755.8,0,0,0,0,0,0,-1
Serbia,5,755.6,3,0,0,1,0,0,-1
Canada,6,745.5,0,0,0,0,0,0,-1
Argentina,7,743.8,3,0,0,1,0,0,-1
Latvia,8,743.7,5,0,4,0.555555556,0,0.444444444,0
France,9,736.3,4,0,1,0.8,0,0.2,-1
Lithuania,10,715.5,4,0,1,0.8,0,0.2,-1
Slovenia,11,700.8,7,0,2,0.777777778,0,0.222222222,-1
Brazil,12,660.5,2,0,0,1,0,0,-1
Italy,13,653.9,8,0,4,0.666666667,0,0.333333333,-1
Greece,14,641.3,3,0,0,1,0,0,-1
Puerto Rico,16,611.1,0,0,0,0,0,0,0
Montenegro,17,606.2,3,0,0,1,0,0,-1
Dominican Republic,18,561.9,0,0,0,0,0,0,0
Czechia,19,561.1,6,0,6,0.5,0,0.5,0
Finland,20,542.5,4,0,2,0.666666667,0,0.333333333,-1
New Zealand,21,507.2,0,0,0,0,0,0,0
Venezuela,22,502.7,0,0,2,0,0,1,1
Georgia,23,465.9,2,0,4,0.333333333,0,0.666666667,1
Turkey,24,445.8,5,0,4,0.555555556,0,0.444444444,0
Mexico,25,440.9,0,0,2,0,0,1,1
Japan,26,432.2,0,0,0,0,0,0,0
Iran,27,427.8,0,0,2,0,0,1,1
Lebanon,28,423.3,0,0,2,0,0,1,1
China,29,420.4,1,0,2,0.333333333,0,0.666666667,1
Croatia,30,420.2,5,0,4,0.555555556,0,0.444444444,0
South Sudan,31,375.5,0,0,0,0,0,0,0
Jordan,32,374.6,0,0,1,0,0,1,1
Cote d'Ivoire,33,369.9,0,0,0,0,0,0,0
Angola,34,364.6,0,0,2,0,0,1,1
Ukraine,35,363.6,3,0,1,0.75,0,0.25,-1
Tunisia,36,356.4,1,0,1,0.5,0,0.5,0
Russia,37,350,4,0,4,0.5,0,0.5,0
Balerus,38,350,2,0,0,1,0,0,-1
Nigeria,39,344.9,1,0,0,1,0,0,0
Philippines,40,340.6,0,0,0,0,0,0,1
Belgium,41,334,3,0,4,0.428571429,0,0.571428571,0
Bosnia and Herzegovina,42,325.6,0,0,2,0,0,1,-1
Egypt,43,323.5,0,0,0,0,0,0,0
Israel,44,311.7,10,0,5,0.666666667,0,0.333333333,-1
Hungary,45,307.3,2,0,2,0.5,0,0.5,0
Estonia,46,274.4,1,0,2,0.333333333,0,0.666666667,1
Bulgaria,47,270.8,3,0,6,0.333333333,0,0.666666667,1
Cape verde,48,262,0,0,0,0,0,0,1
