Opponent,Rank,Points,Win,Draw,Lose,WinRate,DrawRate,LoseRate,Result
Argentina,1,1861.29,3,2,7,0.25,0.17,0.58,-1
France,2,1853.11,3,5,9,0.18,0.29,0.53,-1
Brazil,3,1812.2,1,2,9,0.08,0.17,0.75,-1
England,4,1807.88,1,8,12,0.05,0.38,0.57,-1
Belgium,5,1793.71,7,6,8,0.33,0.29,0.38,-1
Portugal,6,1739.83,3,4,6,0.23,0.31,0.46,-1
Nederlands,7,1739.26,3,7,9,0.16,0.37,0.47,-1
Spain,8,1725.97,1,2,8,0.09,0.18,0.73,-1
Italy,9,1717.81,3,8,7,0.17,0.44,0.39,-1
Croatia,10,1711.88,1,1,3,0.2,0.2,0.6,-1
USA,11,1675.89,7,3,7,0.41,0.18,0.41,-1
Mexico,12,1663.94,3,3,3,0.33,0.33,0.33,0
Marocco,13,1658.49,1,2,1,0.25,0.5,0.25,0
Switzerland,14,1645.38,5,5,1,0.45,0.45,0.09,0
Uruguay,15,1643.72,1,2,1,0.25,0.5,0.25,0
Germany,16,1643.49,2,7,13,0.09,0.32,0.59,-1
Columbia,17,1626.6,2,0,4,0.33,0,0.67,-1
Japan,18,1612.99,5,0,2,0.71,0,0.29,1
Denmark,19,1612.15,8,1,11,0.4,0.05,0.55,-1
Senegal,20,1600.82,0,0,1,0,0,1,0
Iran,21,1567.3,2,0,0,1,0,0,1
Ukraine,22,1549.33,4,2,3,0.44,0.22,0.33,0
Sweden,23,1545.76,9,4,15,0.32,0.14,0.54,0
Korea Republic,24,1540.35,1,1,1,0.33,0.33,0.33,1
Austria,25,1535.41,5,2,3,0.5,0.2,0.3,1
Peru,26,1532.57,3,0,0,1,0,0,1
Australia,27,1531.25,0,0,1,0,0,1,0
Wales,28,1528.69,7,2,1,0.7,0.2,0.1,1
Serbia,29,1525.4,2,3,0,0.4,0.6,0,1
Hungary,30,1521.9,8,5,21,0.24,0.15,0.62,0
Tunisia,32,1516.14,2,0,1,0.67,0,0.33,1
Algeria,33,1512.9,2,0,0,1,0,0,1
Scotland,34,1512.34,3,6,2,0.27,0.55,0.18,0
Egypt,35,1511.95,0,1,1,0,0.5,0.5,0
Ecuador,36,1508.31,1,1,1,0.33,0.33,0.33,1
Chile,37,1503.81,1,1,0,0.5,0.5,0,1
